mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
11.013762950897217,0.057253674296520625,3.1641974449157715,0.09972555913927929,0.1,0.001,"{'C': 0.1, 'gamma': 0.001}",0.6652669466106779,0.6706658668266346,0.6584633853541416,0.6647987329304846,0.004992631674736544,11
6.946457624435425,0.25381057882979985,2.3241024017333984,0.005474318782439176,0.1,0.01,"{'C': 0.1, 'gamma': 0.01}",0.8884223155368927,0.889622075584883,0.8775510204081632,0.8851984705099797,0.005429700779847652,8
11.81197706858317,0.4624107415920449,3.211775302886963,0.03475280471319037,0.1,0.1,"{'C': 0.1, 'gamma': 0.1}",0.1985602879424115,0.19976004799040192,0.20168067226890757,0.20000033606724035,0.0012851727137272479,12
5.885547955830892,0.18992812181944985,2.520390590031942,0.20311574763216647,0.1,scale,"{'C': 0.1, 'gamma': 'scale'}",0.8956208758248351,0.9034193161367726,0.8835534213685474,0.8941978711100518,0.008172398691093131,6
4.745766321818034,0.07010853894488445,2.0575597286224365,0.07989098448912442,1.0,0.001,"{'C': 1, 'gamma': 0.001}",0.883623275344931,0.8938212357528494,0.8781512605042017,0.8851985905339941,0.0064934964660537066,7
2.8022058804829917,0.23161089687939346,1.5783243974049885,0.03213341229828622,1.0,0.01,"{'C': 1, 'gamma': 0.01}",0.9436112777444511,0.9412117576484703,0.9261704681872749,0.936997834526732,0.007718519744068467,4
11.533969640731812,0.23967934435158966,2.7942814032236734,0.11672498549003774,1.0,0.1,"{'C': 1, 'gamma': 0.1}",0.829634073185363,0.8278344331133773,0.8115246098439376,0.8229977053808927,0.008145903551161873,10
3.7363710403442383,0.14918847986131503,1.6260290145874023,0.0730647612404305,1.0,scale,"{'C': 1, 'gamma': 'scale'}",0.9448110377924415,0.9448110377924415,0.9351740696278511,0.9415987150709113,0.004542910359507149,3
2.316434939702352,0.28187696246786176,1.3402164777119954,0.035739091665641265,10.0,0.001,"{'C': 10, 'gamma': 0.001}",0.9172165566886623,0.9214157168566287,0.9093637454981993,0.9159986730144967,0.004994993085677551,5
2.68550968170166,0.127583369876197,1.515010674794515,0.07735538901627911,10.0,0.01,"{'C': 10, 'gamma': 0.01}",0.9484103179364127,0.9508098380323935,0.9375750300120048,0.945598395326937,0.005757326775822072,2
9.041574239730835,0.9874086135102692,1.4131913979848225,0.04528290464439838,10.0,0.1,"{'C': 10, 'gamma': 0.1}",0.8404319136172765,0.8356328734253149,0.8217286914765907,0.8325978261730608,0.007931425406929172,9
2.75734543800354,0.4231297459351274,1.2821145057678223,0.1586826718863508,10.0,scale,"{'C': 10, 'gamma': 'scale'}",0.9526094781043791,0.9532093581283744,0.943577430972389,0.9497987557350475,0.004405952440554938,1
